IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
1;ART0000788;BUDGET;ODP16-16812;Montaggio;A40;RIS4;0.25;1
2;ART0000756;BUDGET;ODP16-15232;Montaggio;A40;RIS4;1;2
3;ART0000772;BUDGET;ODP16-15712;Montaggio;A40;RIS4;1.25;1
4;ART0000762;BUDGET;ODP16-14704;Montaggio;A40;RIS4;3;10
5;ART0000762;BUDGET;ODP16-14704;Controllo qualità;CQ;RIS16;0;10
6;ART0000772;BUDGET;ODP16-15712;Controllo qualità;CQ;RIS16;0;1
7;ART0000788;BUDGET;ODP16-16812;Controllo qualità;CQ;RIS16;0;1
8;ART0000756;BUDGET;ODP16-15232;Controllo qualità;CQ;RIS16;0;2
9;ART0003578;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;10
10;ART0003580;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;10
11;ART0000645;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;23
12;ART0002513;BUDGET;ODP16-15976;Tornitura;A20;RIS14;2.5;7
13;ART0001180;BUDGET;ODP16-14655;Controllo qualità;CQ;RIS16;0;5
14;ART0002145;BUDGET;ODP16-17333;Tornitura;A20;RIS2;1;1
15;ART0001253;BUDGET;ODP16-15711;Tornitura;A20;RIS2;1;1
16;ART0002740;BUDGET;ODP16-16942;Fresatura;A30;RIS7;4.75;40
17;ART0001926;BUDGET;ODP16-14758;Fresatura;A30;RIS7;1;3
18;ART0002513;BUDGET;ODP16-15976;Fresatura;A30;RIS7;1.5;7
19;ART0001926;BUDGET;ODP16-14758;Saldatura;A11;RIS1;1;12
20;ART0002145;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
21;ART0005136;BUDGET;ODP16-16477;Fresatura;A30;RIS9;0.75;0
22;ART0001779;BUDGET;ODP16-14652;Tornitura;A20;RIS14;2.5;8
23;ART0001253;BUDGET;ODP16-15711;Fresatura;A30;RIS7;0.5;1
24;ART0001779;BUDGET;ODP16-14652;Fresatura;A30;RIS7;2.25;8
25;ART0002551;BUDGET;ODP16-15980;Tornitura;A20;RIS2;2.25;3
26;ART0000756;BUDGET;ODP16-15977;Montaggio;A40;RIS4;1.5;5
27;ART0001743;BUDGET;ODP16-15980;Fresatura;A30;RIS7;5;0
28;ART0002366;BUDGET;ODP16-16942;Tornitura;A20;RIS2;2;4
29;ART0002366;BUDGET;ODP16-16942;Tornitura;A20;RIS2;0.25;0
30;ART0001920;BUDGET;ODP16-14653;Controllo qualità;CQ;RIS16;0;2
31;ART0001891;BUDGET;ODP16-14652;Controllo qualità;CQ;RIS16;0;8
32;ART0001884;BUDGET;ODP16-16047;Controllo qualità;CQ;RIS16;0;7
33;ART0001743;BUDGET;ODP16-15980;Fresatura;A30;RIS7;3.75;3
34;ART0000825;BUDGET;ODP16-14653;Montaggio;A40;RIS4;1.5;2
35;ART0000825;BUDGET;ODP16-14653;Controllo qualità;CQ;RIS16;0;2
36;ART0000756;BUDGET;ODP16-15977;Controllo qualità;CQ;RIS16;0;5
37;ART0002366;BUDGET;ODP16-16942;Fresatura;A30;RIS7;1.5;4
38;ART0001017;BUDGET;ODP16-16663;Montaggio;A40;RIS4;0.45;1
39;ART0001017;BUDGET;ODP16-15843;Montaggio;A40;RIS4;0.45;1
40;ART0003935;BUDGET;ODP16-16479;Tornitura;A20;RIS14;0.5;1
41;ART0003935;BUDGET;ODP16-16479;Tornitura;A20;RIS14;2;0
42;ART0005136;BUDGET;ODP17-00172;Tornitura;A20;RIS2;0.25;1
43;ART0005136;BUDGET;ODP17-00172;Tornitura;A20;RIS2;0.25;1
44;ART0001017;BUDGET;ODP16-16663;Controllo qualità;CQ;RIS16;0;1
45;ART0001017;BUDGET;ODP16-15843;Controllo qualità;CQ;RIS16;0;1
46;ART0005136;BUDGET;ODP17-00172;Controllo qualità;CQ;RIS16;0;1
47;ART0005136;BUDGET;ODP17-00172;Controllo qualità;CQ;RIS16;0;1
48;ART0002551;BUDGET;ODP16-15980;Fresatura;A30;RIS7;2;0
49;ART0002551;BUDGET;ODP16-15980;Fresatura;A30;RIS7;2.5;3
50;ART0003782;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;4
51;ART0005136;BUDGET;ODP16-16477;Tornitura;A20;RIS2;1.5;1
52;ART0005136;BUDGET;ODP16-16477;Fresatura;A30;RIS9;0.75;1
53;ART0003613;BUDGET;ODP16-16560;Tornitura;A20;RIS2;1;4
54;ART0002012;BUDGET;ODP16-17338;Tornitura;A20;RIS1;0.5;2
55;ART0003613;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;4
56;ART0000308;BUDGET;ODP16-16945;Tornitura;A20;RIS14;2.5;10
57;ART0002144;BUDGET;ODP16-17333;Tornitura;A20;RIS1;0.5;1
58;ART0002132;BUDGET;ODP16-17333;Tornitura;A20;RIS1;0.5;1
59;ART0001817;BUDGET;ODP16-14758;Fresatura;A30;RIS7;3.25;0
60;ART0002102;BUDGET;ODP16-16942;Tornitura;A20;RIS14;2.5;26
61;ART0003935;BUDGET;ODP16-16479;Fresatura;A30;RIS9;1;0
62;ART0002753;BUDGET;ODP16-17337;Tornitura;A20;RIS2;2;2
63;ART0003785;BUDGET;ODP16-16557;Tornitura;A20;RIS14;2.5;30
64;ART0003785;BUDGET;ODP16-16557;Tornitura;A20;RIS14;1;0
65;ART0001188;BUDGET;ODP16-17333;Tornitura;A20;RIS2;0.5;1
66;ART0001817;BUDGET;ODP16-14758;Fresatura;A30;RIS7;0.5;3
67;ART0001214;BUDGET;ODP16-17333;Tornitura;A20;RIS14;2;1
68;ART0001214;BUDGET;ODP16-17333;Tornitura;A20;RIS14;1;0
69;ART0001188;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;1
70;ART0002144;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
71;ART0002132;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
72;ART0001154;BUDGET;ODP16-17335;Tornitura;A20;RIS13;1.5;29
73;ART0002145;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
74;ART0002511;BUDGET;ODP16-17333;Tornitura;A20;RIS1;1;1
75;ART0002513;BUDGET;ODP16-15976;Controllo qualità;CQ;RIS16;0;7
76;ART0003935;BUDGET;ODP16-16479;Fresatura;A30;RIS9;0.83;1
77;ART0003785;BUDGET;ODP16-16557;Controllo qualità;CQ;RIS16;0;30
78;ART0001253;BUDGET;ODP16-15711;Controllo qualità;CQ;RIS16;0;1
79;ART0001741;BUDGET;ODP16-15711;Controllo qualità;CQ;RIS16;0;1
80;ART0002551;BUDGET;ODP16-15980;Controllo qualità;CQ;RIS16;0;3
81;ART0002102;BUDGET;ODP16-16942;Fresatura;A30;RIS7;6.25;26
82;ART0002552;BUDGET;ODP16-15980;Tornitura;A20;RIS2;1;3
83;ART0002511;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;0
84;ART0002511;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;1
85;ART0002552;BUDGET;ODP16-15980;Tornitura;A20;RIS2;0.5;0
86;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS2;0.25;0
87;ART0001214;BUDGET;ODP16-17333;Fresatura;A30;RIS7;1;1
88;ART0002012;BUDGET;ODP16-17338;Tornitura;A20;RIS1;1.5;0
89;ART0002996;BUDGET;ODP17-00272;Fresatura;A30;RIS9;3.75;2
90;ART0001886;BUDGET;ODP16-17386;Tornitura;A20;RIS14;4;15
91;ART0001886;BUDGET;ODP16-17386;Tornitura;A20;RIS14;3;0
92;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS9;0.5;0
93;ART0001886;BUDGET;ODP16-17386;Fresatura;A30;RIS7;5;0
94;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS9;0.75;10
95;ART0000644;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;21
96;ART0000625;BUDGET;ODP16-15709;Controllo qualità;CQ;RIS16;0;5
97;ART0000630;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;30
98;ART0000627;BUDGET;ODP16-15709;Controllo qualità;CQ;RIS16;0;20
99;ART0005136;BUDGET;ODP16-16477;Controllo qualità;CQ;RIS16;0;1
100;ART0005136;BUDGET;ODP16-16477;Controllo qualità;CQ;RIS16;0;1
101;ART0000639;BUDGET;ODP16-15709;Controllo qualità;CQ;RIS16;0;7
102;ART0002552;BUDGET;ODP16-15980;Fresatura;A30;RIS9;0.75;3
103;ART0002552;BUDGET;ODP16-15980;Controllo qualità;CQ;RIS16;0;3
104;ART0002012;BUDGET;ODP16-17338;Fresatura;A30;RIS9;0.75;2
105;ART0002012;BUDGET;ODP16-17338;Tornitura;A20;RIS2;1;0
106;ART0001886;BUDGET;ODP16-17386;Fresatura;A30;RIS7;2.75;15
107;ART0001238;BUDGET;ODP16-17337;Tornitura;A20;RIS2;0.5;1
108;ART0001779;BUDGET;ODP16-14652;Controllo qualità;CQ;RIS16;0;8
109;ART0001743;BUDGET;ODP16-15980;Controllo qualità;CQ;RIS16;0;3
110;ART0005136;BUDGET;ODP17-00416;Tornitura;A20;RIS2;1;1
111;ART0002740;BUDGET;ODP16-16942;Controllo qualità;CQ;RIS16;0;40
112;ART0002012;BUDGET;ODP16-17338;Controllo qualità;CQ;RIS16;0;2
113;ART0002274;BUDGET;ODP16-17338;Tornitura;A20;RIS1;4;2
114;ART0005136;BUDGET;ODP17-00416;Brocciatura / stozzatrice;A33;RIS2;0.5;1
115;ART0001897;BUDGET;ODP16-17384;Tornitura;A20;RIS14;2;15
116;ART0001897;BUDGET;ODP16-17384;Tornitura;A20;RIS14;4.5;0
117;ART0001920;BUDGET;ODP17-00323;Tornitura;A20;RIS14;3;3
118;ART0001897;BUDGET;ODP16-17384;Fresatura;A30;RIS7;4.5;0
119;ART0000850;BUDGET;ODP16-14652;Controllo qualità;CQ;RIS16;0;8
120;ART0001228;BUDGET;ODP16-17337;Tornitura;A20;RIS2;0.25;1
121;ART0000758;BUDGET;ODP16-16047;Controllo qualità;CQ;RIS16;0;6
122;ART0001897;BUDGET;ODP16-17384;Fresatura;A30;RIS7;3;15
123;ART0001920;BUDGET;ODP17-00323;Fresatura;A30;RIS7;3.5;3
124;ART0003824;BUDGET;ODP16-14469;Tornitura;A20;RIS14;3.5;43
125;ART0005136;BUDGET;ODP17-00667;Fresatura;A30;RIS9;8.25;1
126;ART0005136;BUDGET;ODP17-00667;Foratura/Maschiatura;A32;RIS9;3;0
127;ART0002273;BUDGET;ODP17-00272;Tornitura;A20;RIS2;2;1
128;ART0002274;BUDGET;ODP16-17338;Fresatura;A30;RIS9;0.75;2
129;ART0002273;BUDGET;ODP17-00272;Fresatura;A30;RIS9;0.5;1
130;ART0002274;BUDGET;ODP16-17338;Controllo qualità;CQ;RIS16;0;2
131;ART0002753;BUDGET;ODP16-17337;Fresatura;A30;RIS7;2.5;2
132;ART0004146;BUDGET;ODP16-13864;Montaggio;A40;RIS11;2;31
133;ART0002997;BUDGET;ODP16-17338;Tornitura;A20;RIS2;2;0
134;ART0002385;BUDGET;ODP17-00322;Tornitura;A20;RIS14;5;25
135;ART0002385;BUDGET;ODP17-00322;Tornitura;A20;RIS14;3.5;0
136;ART0004175;BUDGET;ODP16-16946;Tornitura;A20;RIS14;3;1
137;ART0002102;BUDGET;ODP16-16942;Controllo qualità;CQ;RIS16;0;26
138;ART0001214;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
139;ART0002366;BUDGET;ODP16-16942;Controllo qualità;CQ;RIS16;0;4
140;ART0001188;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
141;ART0002132;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
142;ART0002144;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
143;ART0002997;BUDGET;ODP16-17338;Tornitura;A20;RIS2;5;2
144;ART0002511;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
145;ART0002997;BUDGET;ODP16-17338;Fresatura;A30;RIS7;4.5;2
146;ART0002997;BUDGET;ODP16-17338;Controllo qualità;CQ;RIS16;0;2
147;ART0001785;BUDGET;ODP16-17384;Tornitura;A20;RIS14;5;15
148;ART0001785;BUDGET;ODP16-17384;Tornitura;A20;RIS14;1.5;0
149;ART0003197;BUDGET;ODP16-17338;Fresatura;A30;RIS9;0.5;3
150;ART0000313;BUDGET;ODP17-00418;Controllo qualità;CQ;RIS16;0;7
151;ART0001785;BUDGET;ODP16-17384;Fresatura;A30;RIS7;6;16
152;ART0000308;BUDGET;ODP16-16945;Controllo qualità;CQ;RIS16;0;10
153;ART0002273;BUDGET;ODP17-00272;Controllo qualità;CQ;RIS16;0;1
154;ART0003824;BUDGET;ODP16-14469;Controllo qualità;CQ;RIS16;0;43
155;ART0001238;BUDGET;ODP16-17337;Controllo qualità;CQ;RIS16;0;1
156;ART0003197;BUDGET;ODP16-17338;Controllo qualità;CQ;RIS16;0;3
157;ART0001785;BUDGET;ODP16-17384;Controllo qualità;CQ;RIS16;0;16
158;ART0001228;BUDGET;ODP16-17337;Controllo qualità;CQ;RIS16;0;1
159;ART0002513;BUDGET;ODP17-00855;Tornitura;A20;RIS14;2.5;5
160;ART0002753;BUDGET;ODP16-17337;Controllo qualità;CQ;RIS16;0;2
161;ART0000805;BUDGET;ODP17-00975;Montaggio;A40;RIS4;0.5;1
162;ART0000805;BUDGET;ODP17-00975;Controllo qualità;CQ;RIS16;0;1
163;ART0005136;BUDGET;ODP17-01034;Fresatura;A30;RIS9;1;4
164;ART0005136;BUDGET;ODP17-00667;Tornitura;A20;RIS1;8;0
165;ART0002513;BUDGET;ODP17-00855;Fresatura;A30;RIS7;1;5
166;ART0000630;BUDGET;ODP17-00857;Fresatura;A30;RIS9;1.5;0
167;ART0005136;BUDGET;ODP17-01034;Tornitura;A20;RIS2;2;4
168;ART0001926;BUDGET;ODP16-14758;Controllo qualità;CQ;RIS16;0;3
169;ART0005136;BUDGET;ODP17-01034;Tornitura;A20;RIS2;0.5;4
170;ART0001766;BUDGET;ODP17-00323;Tornitura;A20;RIS14;2.5;4
171;ART0001811;BUDGET;ODP16-17117;Tornitura;A20;RIS14;5;7
172;ART0005136;BUDGET;ODP17-01034;Controllo qualità;CQ;RIS16;0;4
173;ART0005136;BUDGET;ODP17-01034;Controllo qualità;CQ;RIS16;0;4
174;ART0005136;BUDGET;ODP17-01034;Controllo qualità;CQ;RIS16;0;4
175;ART0002385;BUDGET;ODP17-00322;Controllo qualità;CQ;RIS16;0;25
176;ART0005136;BUDGET;ODP17-01203;Fresatura;A30;RIS9;1;1
177;ART0005136;BUDGET;ODP17-01203;Controllo qualità;CQ;RIS16;0;1
178;ART0001766;BUDGET;ODP17-00323;Fresatura;A30;RIS7;0.25;0
179;ART0003780;BUDGET;ODP17-00973;Tornitura;A20;RIS14;6.5;42
180;ART0001759;BUDGET;ODP17-01092;Tornitura;A20;RIS14;2.5;40
181;ART0001759;BUDGET;ODP17-01092;Tornitura;A20;RIS14;3.5;0
182;ART0001766;BUDGET;ODP17-00323;Fresatura;A30;RIS7;3.5;4
183;ART0001759;BUDGET;ODP17-01092;Tornitura;A20;RIS14;4.5;0
184;ART0001500;BUDGET;ODP17-00272;Tornitura;A20;RIS2;0.75;1
185;ART0001500;BUDGET;ODP17-00272;Controllo qualità;CQ;RIS16;0;1
186;ART0001811;BUDGET;ODP16-17117;Fresatura;A30;RIS7;0.75;0
187;ART0000125;BUDGET;ODP17-00418;Tornitura;A20;RIS2;1.5;1
188;ART0003780;BUDGET;ODP17-00973;Fresatura;A30;RIS11;1.5;0
189;ART0004146;BUDGET;ODP16-13864;Montaggio;A40;RIS1;4.5;0
190;ART0000125;BUDGET;ODP17-00418;Fresatura;A30;RIS2;1.5;1
191;ART0001811;BUDGET;ODP16-17117;Fresatura;A30;RIS7;5.25;7
192;ART0001593;BUDGET;ODP17-00976;Tornitura;A20;RIS2;0.75;4
193;ART0001811;BUDGET;ODP16-17117;Controllo qualità;CQ;RIS16;0;7
194;ART0004099;BUDGET;ODP17-00171;Montaggio;A40;RIS4;2;0
195;ART0004146;BUDGET;ODP16-13864;Montaggio;A40;RIS4;3;0
196;ART0000125;BUDGET;ODP17-00418;Fresatura;A30;RIS7;1.25;1
197;ART0000128;BUDGET;ODP16-15233;Controllo qualità;CQ;RIS16;0;11
198;ART0000312;BUDGET;ODP16-15706;Controllo qualità;CQ;RIS16;0;44
199;ART0000752;BUDGET;ODP16-17117;Montaggio;A40;RIS4;0.5;1
200;ART0000752;BUDGET;ODP16-17117;Controllo qualità;CQ;RIS16;0;1
201;ART0001593;BUDGET;ODP17-00976;Fresatura;A30;RIS7;0.25;4
202;ART0003160;BUDGET;ODP17-00976;Tornitura;A20;RIS1;1.5;1
203;ART0001759;BUDGET;ODP17-01092;Fresatura;A30;RIS7;5.25;40
204;ART0000630;BUDGET;ODP17-00857;Fresatura;A30;RIS9;5;21
205;ART0001866;BUDGET;ODP17-01092;Fresatura;A30;RIS7;2.25;0
206;ART0001866;BUDGET;ODP17-01092;Tornitura;A20;RIS14;4.5;40
207;ART0001866;BUDGET;ODP17-01092;Tornitura;A20;RIS14;9.5;0
208;ART0001866;BUDGET;ODP17-01092;Tornitura;A20;RIS14;8.5;0
209;ART0001866;BUDGET;ODP17-01092;Tornitura;A20;RIS14;5;0
210;ART0002010;BUDGET;ODP17-01401;Tornitura;A20;RIS2;1;3
211;ART0001866;BUDGET;ODP17-01092;Fresatura;A30;RIS7;7.75;0
212;ART0001593;BUDGET;ODP17-00976;Controllo qualità;CQ;RIS16;0;4
213;ART0002513;BUDGET;ODP17-00855;Controllo qualità;CQ;RIS16;0;5
214;ART0001775;BUDGET;ODP16-17386;Tornitura;A20;RIS14;3;15
215;ART0001775;BUDGET;ODP16-17386;Tornitura;A20;RIS14;4;0
216;ART0001866;BUDGET;ODP17-01092;Fresatura;A30;RIS7;5;40
217;ART0001866;BUDGET;ODP17-01092;Brocciatura / stozzatrice;A33;RIS13;2.5;40
218;ART0001874;BUDGET;ODP17-01406;Tornitura;A20;RIS2;0.5;1
219;ART0002010;BUDGET;ODP17-01401;Fresatura;A30;RIS7;0.75;3
220;ART0002267;BUDGET;ODP17-01401;Tornitura;A20;RIS2;2.5;2
221;ART0002140;BUDGET;ODP17-01403;Tornitura;A20;RIS2;1;1
222;ART0002139;BUDGET;ODP17-01403;Tornitura;A20;RIS2;1;1
223;ART0001249;BUDGET;ODP17-01401;Tornitura;A20;RIS2;0.5;1
224;ART0001874;BUDGET;ODP17-01406;Tornitura;A20;RIS1;1.5;0
225;ART0001759;BUDGET;ODP17-01092;Fresatura;A30;RIS7;2.5;0
226;ART0001759;BUDGET;ODP17-01092;Controllo qualità;CQ;RIS16;0;40
227;ART0002139;BUDGET;ODP17-01403;Fresatura;A30;RIS7;0.5;1
228;ART0002140;BUDGET;ODP17-01403;Fresatura;A30;RIS7;1;1
229;ART0002793;BUDGET;ODP17-00856;Fresatura;A30;RIS9;5;20
230;ART0002140;BUDGET;ODP17-01403;Tornitura;A20;RIS2;0.25;0
231;ART0002267;BUDGET;ODP17-01401;Fresatura;A30;RIS7;0.75;2
232;ART0000131;BUDGET;ODP16-16476;Tornitura;A20;RIS2;5;7
233;ART0001874;BUDGET;ODP17-01406;Fresatura;A30;RIS7;2;1
234;ART0002895;BUDGET;ODP17-01403;Fresatura;A30;RIS9;1.25;0
235;ART0002896;BUDGET;ODP17-01403;Fresatura;A30;RIS9;1.25;0
236;ART0000131;BUDGET;ODP16-16476;Fresatura;A30;RIS7;1;0
237;ART0000131;BUDGET;ODP16-16476;Fresatura;A30;RIS7;0.75;7
238;ART0003160;BUDGET;ODP17-00976;Controllo qualità;CQ;RIS16;0;1
239;ART0000131;BUDGET;ODP16-16476;Controllo qualità;CQ;RIS16;0;7
240;ART0002896;BUDGET;ODP17-01403;Fresatura;A30;RIS9;1;1
241;ART0002895;BUDGET;ODP17-01403;Fresatura;A30;RIS9;1;1
242;ART0001766;BUDGET;ODP17-00323;Controllo qualità;CQ;RIS16;0;4
243;ART0000782;BUDGET;ODP17-01274;Montaggio;A40;RIS4;1;3
244;ART0000782;BUDGET;ODP17-01274;Controllo qualità;CQ;RIS16;0;3
245;ART0003135;BUDGET;ODP17-01401;Fresatura;A30;RIS9;0.25;4
246;ART0003135;BUDGET;ODP17-01401;Controllo qualità;CQ;RIS16;0;4
247;ART0001886;BUDGET;ODP17-01410;Tornitura;A20;RIS14;2;15
248;ART0001886;BUDGET;ODP17-01410;Tornitura;A20;RIS14;3.5;0
249;ART0002793;BUDGET;ODP17-00856;Controllo qualità;CQ;RIS16;0;20
250;ART0000804;BUDGET;ODP17-01276;Montaggio;A40;RIS4;3.5;10
251;ART0002267;BUDGET;ODP17-01401;Controllo qualità;CQ;RIS16;0;2
252;ART0001249;BUDGET;ODP17-01401;Controllo qualità;CQ;RIS16;0;1
253;ART0002140;BUDGET;ODP17-01403;Controllo qualità;CQ;RIS16;0;1
254;ART0000762;BUDGET;ODP17-01090;Montaggio;A40;RIS4;3.5;10
255;ART0000804;BUDGET;ODP17-01276;Controllo qualità;CQ;RIS16;0;3
256;ART0000762;BUDGET;ODP17-01090;Controllo qualità;CQ;RIS16;0;10
257;ART0002139;BUDGET;ODP17-01403;Controllo qualità;CQ;RIS16;0;1
258;ART0002010;BUDGET;ODP17-01401;Controllo qualità;CQ;RIS16;0;3
259;ART0001921;BUDGET;ODP17-01273;Tornitura;A20;RIS14;5.5;12
260;ART0001775;BUDGET;ODP16-17386;Fresatura;A30;RIS9;2;0
261;ART0001923;BUDGET;ODP17-01277;Tornitura;A20;RIS1;5;4
262;ART0001923;BUDGET;ODP17-01277;Tornitura;A20;RIS2;1.5;0
263;ART0001765;BUDGET;ODP17-01269;Tornitura;A20;RIS14;2;6
264;ART0002070;BUDGET;ODP17-01405;Tornitura;A20;RIS2;1.25;1
265;ART0001775;BUDGET;ODP16-17386;Fresatura;A30;RIS9;6.75;30
266;ART0001920;BUDGET;ODP17-00323;Controllo qualità;CQ;RIS16;0;3
267;ART0001886;BUDGET;ODP17-01410;Fresatura;A30;RIS9;1.75;0
268;ART0000825;BUDGET;ODP17-00323;Montaggio;A40;RIS4;2;3
269;ART0001897;BUDGET;ODP16-17384;Controllo qualità;CQ;RIS16;0;15
270;ART0001886;BUDGET;ODP16-17386;Controllo qualità;CQ;RIS16;0;15
271;ART0000825;BUDGET;ODP17-00323;Controllo qualità;CQ;RIS16;0;3
272;ART0002139;BUDGET;ODP17-01403;Fresatura;A30;RIS7;0.15;0
273;ART0000804;BUDGET;ODP17-01276;Montaggio;A40;RIS4;-2.5;0
274;ART0001886;BUDGET;ODP17-01410;Fresatura;A30;RIS9;3.15;15
275;ART0004152;BUDGET;ODP17-01270;Tornitura;A20;RIS14;1.5;0
276;ART0004152;BUDGET;ODP17-01270;Tornitura;A20;RIS14;9;0
277;ART0004152;BUDGET;ODP17-01270;Tornitura;A20;RIS14;2;30
278;ART0001775;BUDGET;ODP16-17386;Tornitura;A20;RIS14;4;0
279;ART0001775;BUDGET;ODP16-17386;Tornitura;A20;RIS14;2;0
280;ART0001775;BUDGET;ODP16-17386;Tornitura;A20;RIS14;3;15
281;ART0002866;BUDGET;ODP17-01501;Tornitura;A20;RIS14;2.5;3
282;ART0002866;BUDGET;ODP17-01501;Fresatura;A30;RIS7;1.75;3
283;ART0001765;BUDGET;ODP17-01269;Fresatura;A30;RIS7;1.5;0
284;ART0001765;BUDGET;ODP17-01269;Fresatura;A30;RIS7;0.5;6
285;ART0002866;BUDGET;ODP17-01501;Controllo qualità;CQ;RIS16;0;3
286;ART0001765;BUDGET;ODP17-01269;Controllo qualità;CQ;RIS16;0;6
287;ART0001886;BUDGET;ODP17-01410;Fresatura;A30;RIS7;1.25;0
288;ART0002015;BUDGET;ODP17-01405;Tornitura;A20;RIS2;1;1
289;ART0001895;BUDGET;ODP17-01509;Tornitura;A20;RIS14;3;6
290;ART0003610;BUDGET;ODP17-00973;Tornitura;A20;RIS14;3;8
291;ART0000762;BUDGET;ODP16-17384;Montaggio;A40;RIS4;3;15
292;ART0000762;BUDGET;ODP16-17384;Controllo qualità;CQ;RIS16;0;15
293;ART0000756;BUDGET;ODP17-01269;Montaggio;A40;RIS11;1;5
294;ART0000756;BUDGET;ODP17-01269;Controllo qualità;CQ;RIS16;0;5
295;ART0001923;BUDGET;ODP17-01277;Fresatura;A30;RIS7;3.75;4
296;ART0001895;BUDGET;ODP17-01509;Fresatura;A30;RIS7;3;6
297;ART0003610;BUDGET;ODP17-00973;Controllo qualità;CQ;RIS16;0;8
298;ART0001783;BUDGET;ODP17-01509;Tornitura;A20;RIS14;3.5;6
299;ART0003780;BUDGET;ODP17-00973;Controllo qualità;CQ;RIS16;0;42
300;ART0001813;BUDGET;ODP17-01277;Tornitura;A20;RIS14;2;4
301;ART0000848;BUDGET;ODP16-17386;Montaggio;A40;RIS4;1.5;15
302;ART0000848;BUDGET;ODP16-17386;Montaggio;A40;RIS13;1.5;15
303;ART0001921;BUDGET;ODP17-01273;Fresatura;A30;RIS7;0.25;0
304;ART0002740;BUDGET;ODP17-01511;Tornitura;A20;RIS2;3.75;0
305;ART0000765;BUDGET;ODP17-01510;Montaggio;A40;RIS4;0.25;1
306;ART0000765;BUDGET;ODP17-01510;Controllo qualità;CQ;RIS16;0;1
307;ART0002740;BUDGET;ODP17-01511;Tornitura;A20;RIS2;2.25;40
308;ART0001762;BUDGET;ODP17-01406;Tornitura;A20;RIS14;2.5;1
309;ART0001921;BUDGET;ODP17-01273;Fresatura;A30;RIS7;5.5;11
310;ART0004202;BUDGET;ODP17-01566;Tornitura;A20;RIS2;0.75;1
311;ART0004942;BUDGET;ODP17-01515;Tornitura;A20;RIS14;2.5;8
312;ART0004941;BUDGET;ODP17-01515;Fresatura;A30;RIS9;4;0
313;ART0004202;BUDGET;ODP17-01566;Tornitura;A20;RIS2;1;1
314;ART0002896;BUDGET;ODP17-01403;Tornitura;A20;RIS2;0.35;1
315;ART0002895;BUDGET;ODP17-01403;Tornitura;A20;RIS2;0.35;1
316;ART0004941;BUDGET;ODP17-01515;Fresatura;A30;RIS9;3.75;8
317;ART0005091;BUDGET;ODP17-01515;Tornitura;A20;RIS14;1.5;4
318;ART0005091;BUDGET;ODP17-01515;Tornitura;A20;RIS14;0.5;0
319;ART0002882;BUDGET;ODP17-01760;Tornitura;A20;RIS2;1.25;1
320;ART0004946;BUDGET;ODP17-01515;Fresatura;A30;RIS9;6.5;16
321;ART0001866;BUDGET;ODP17-01092;Rettifica;A34;RIS13;10;0
322;ART0004947;BUDGET;ODP17-01515;Fresatura;A30;RIS9;2.83;8
323;ART0002070;BUDGET;ODP17-01405;Fresatura;A30;RIS7;0.75;1
324;ART0002015;BUDGET;ODP17-01405;Fresatura;A30;RIS7;0.5;1
325;ART0001762;BUDGET;ODP17-01406;Fresatura;A30;RIS7;0.25;0
326;ART0000645;BUDGET;ODP17-01693;Tornitura;A20;RIS1;6;23
327;ART0001762;BUDGET;ODP17-01406;Fresatura;A30;RIS7;1;1
328;ART0000645;BUDGET;ODP17-01693;Fresatura;A30;RIS1;0.001;0
329;ART0000645;BUDGET;ODP17-01693;Controllo qualità;CQ;RIS16;0;23
330;ART0004944;BUDGET;ODP17-01515;Tornitura;A20;RIS2;1.75;8
331;ART0001813;BUDGET;ODP17-01277;Fresatura;A30;RIS7;1.5;4
332;ART0004944;BUDGET;ODP17-01515;Controllo qualità;CQ;RIS16;0;8
